Question_ID,Preamble,Question,Type,Question_Parent,Parent_Value,,Likert Scale
1,,Did you receive feedback inthe form of typed comments?,boolean,,,,
1_a_a,Please tell us about your experience in relation to the format of that feedback:,I was able to read the typed comments easily,likeit_optional,1,Yes,,A
1_a_b,Please tell us about your experience in relation to the format of that feedback:,It was easy to tell what part of my assessment the typed comments related to,likeit_optional,1,Yes,,A
1_a_c,Please tell us about your experience in relation to the format of that feedback:,I found it difficult to read the typed comments,likeit_optional,1,Yes,,A
1_b_a,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found it easy to understand what the marker meant in the typed comments,likeit_optional,1,Yes,,A
1_b_b,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found the typed comments helped me understand where I could improve,likeit_optional,1,Yes,,A
1_b_c,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found the typed comments helped me understand where I had done well,likeit_optional,1,Yes,,A
1_b_d,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found the typed comments helped me understand why the maker gave me that mark,likeit_optional,1,Yes,,A
1_b_e,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found the typed comments gave me information useful for future assessment in this course,likeit_optional,1,Yes,,A
1_b_f,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found the typed comments gave me information useful for future assessment in other courses,likeit_optional,1,Yes,,A
1_b_g,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found the typed comments gave me information on how to do something beyond/outside university (relevant to my career path),likeit_optional,1,Yes,,A
1_b_h,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found it difficult to remember what the marker had said in the typed comments,likeit_optional,1,Yes,,A
1_b_i,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found it difficult to understand what the marker meant in the typed comments,likeit_optional,1,Yes,,A
1_b_j,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I did not find the typed comments useful,likeit_optional,1,Yes,,A
1_b_k,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found the typed comments got straight to the point,likeit_optional,1,Yes,,A
1_b_l,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found the typed comments had enough detail so that I could understand what the marker was saying,likeit_optional,1,Yes,,A
1_b_m,Please tell us about your experience In relation to understanding feedback in the form of typed comments:,I found the typed comments to be too long,likeit_optional,1,Yes,,A
